Issue Type,Epic,Summary,Description,Acceptance Criteria,Story Points,Labels,Dependencies,Parent
Sub-task,Booking Core,BOK-11 subtask: [NEW] Backend: `is_dynamic_flight_hotel_combo` detection on Package save,[NEW] Backend: `is_dynamic_flight_hotel_combo` detection on Package save,,,backend;frontend;booking;phase1;subtask,,BOK-11: Build the Package Builder screen with UK ATOL disclosure gate
Sub-task,Booking Core,BOK-11 subtask: [NEW] Backend: ATOL disclosure-completion gate on the publish endpoint,[NEW] Backend: ATOL disclosure-completion gate on the publish endpoint,,,backend;frontend;booking;phase1;subtask,,BOK-11: Build the Package Builder screen with UK ATOL disclosure gate
Sub-task,Booking Core,BOK-11 subtask: [NEW] Frontend: `usePackageBuilder` hook (React Query for server data per RULES.md §7.1),[NEW] Frontend: `usePackageBuilder` hook (React Query for server data per RULES.md §7.1),,,backend;frontend;booking;phase1;subtask,,BOK-11: Build the Package Builder screen with UK ATOL disclosure gate
Sub-task,Booking Core,BOK-11 subtask: [NEW] Frontend: `PackageBuilder.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),[NEW] Frontend: `PackageBuilder.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),,,backend;frontend;booking;phase1;subtask,,BOK-11: Build the Package Builder screen with UK ATOL disclosure gate
Sub-task,Booking Core,"BOK-11 subtask: [NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)","[NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)",,,backend;frontend;booking;phase1;subtask,,BOK-11: Build the Package Builder screen with UK ATOL disclosure gate
Sub-task,Booking Core,"BOK-11 subtask: [NEW] Frontend: Playwright e2e spec (extends `search-flow.spec.ts` pattern, PRD §9.1 flow)","[NEW] Frontend: Playwright e2e spec (extends `search-flow.spec.ts` pattern, PRD §9.1 flow)",,,backend;frontend;booking;phase1;subtask,,BOK-11: Build the Package Builder screen with UK ATOL disclosure gate
Story,Booking Core,"BOK-12: Publish a Package, making it visible to Users","As a Consultant, I want publish a Package so it becomes visible to my Users and eligible for Meta campaign promotion, so that Users can search/sell it and I can opt into the Ads flow, per PRD §9.1 Flow B step 3 and §22.3.

PRD reference(s): §9.1 Flow B step 3; §22.3 (Package published → visible to Users)
Module(s)/Screen(s): booking
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Status-transition method plus a visibility query, on top of BOK-11's gate.","- Given a Quotation is converted to a Package, when the Package is published, then it becomes visible to the Consultant's Users (T4-adjacent lifecycle check).
- Given the Consultant opts into 'Promote this Package', when publish completes, then the flow hands off into the Ads Campaign Builder (ADS-03).",3,backend;booking;phase1,BOK-11,
Sub-task,Booking Core,BOK-12 subtask: [EXTEND] Backend: `Package.publish()` business logic / state-transition method,[EXTEND] Backend: `Package.publish()` business logic / state-transition method,,,backend;booking;phase1;subtask,,"BOK-12: Publish a Package, making it visible to Users"
Sub-task,Booking Core,"BOK-12 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;booking;phase1;subtask,,"BOK-12: Publish a Package, making it visible to Users"
Sub-task,Booking Core,BOK-12 subtask: [EXTEND] Backend: REST endpoint `POST /api/v1/packages/{id}/publish`,[EXTEND] Backend: REST endpoint `POST /api/v1/packages/{id}/publish`,,,backend;booking;phase1;subtask,,"BOK-12: Publish a Package, making it visible to Users"
Sub-task,Booking Core,BOK-12 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;booking;phase1;subtask,,"BOK-12: Publish a Package, making it visible to Users"
Sub-task,Booking Core,BOK-12 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;booking;phase1;subtask,,"BOK-12: Publish a Package, making it visible to Users"
Story,Booking Core,BOK-13: Build the Direct Booking & Payment flow (User-facing),"As a User, I want search available Packages or a custom itinerary, enter traveler details, review the price breakdown, and choose a payment method, so that a traveler-facing booking can be completed end-to-end per PRD §9.1 Flow C and §21.4.

PRD reference(s): §9.1 Flow C; §21.4 Booking & Payment Flow
Module(s)/Screen(s): booking, payments, Booking & Payment Flow (21.4) — NEW feature folder
Testing tier(s): unit, module (@ApplicationModuleTest), component test, e2e
Story points reasoning: New end-to-end screen orchestrating booking, traveler profile, and payment method selection — the largest single frontend surface in Booking Core.","- Given a User selects traveler(s) and enters details, when they proceed, then the price breakdown (collapsible net/markup detail per Consultant visibility settings) is shown before payment method selection.
- Given a line item flags `passenger_documents_required` or the itinerary includes international travel, when the User reaches the traveler form, then document fields are required inline before proceeding.",8,backend;frontend;booking;phase1,"BOK-12, FIN-06, FIN-08, BOK-14",
Sub-task,Booking Core,BOK-13 subtask: [EXTEND] Backend: `confirmBooking` business logic / state-transition method,[EXTEND] Backend: `confirmBooking` business logic / state-transition method,,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,"BOK-13 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,BOK-13 subtask: [EXTEND] Backend: REST endpoint `POST /api/v1/bookings`,[EXTEND] Backend: REST endpoint `POST /api/v1/bookings`,,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,BOK-13 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,BOK-13 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,BOK-13 subtask: [NEW] Frontend: `useBookingPaymentFlow` hook (React Query for server data per RULES.md §7.1),[NEW] Frontend: `useBookingPaymentFlow` hook (React Query for server data per RULES.md §7.1),,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,BOK-13 subtask: [NEW] Frontend: `BookingPaymentFlow.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),[NEW] Frontend: `BookingPaymentFlow.tsx` component — all 5 PRD Part 21 states (default/loading/success/empty/error),,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,"BOK-13 subtask: [NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)","[NEW] Frontend: component test (Testing Library, co-located, asserts on role/label per RULES.md §7.3)",,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Sub-task,Booking Core,"BOK-13 subtask: [NEW] Frontend: Playwright e2e spec (extends `search-flow.spec.ts` pattern, PRD §9.1 flow)","[NEW] Frontend: Playwright e2e spec (extends `search-flow.spec.ts` pattern, PRD §9.1 flow)",,,backend;frontend;booking;phase1;subtask,,BOK-13: Build the Direct Booking & Payment flow (User-facing)
Story,Booking Core,BOK-14: Capture Traveler Profile details including passport/document vault,"As a User, I want enter traveler name, date of birth, and (when required) passport details and documents, so that cruise and international bookings have the traveler data PRD §20.10 requires before confirmation.

PRD reference(s): §20.10 Traveler Profile; §23.1 (edge cases reference traveler data)
Module(s)/Screen(s): booking
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: New entity with encrypted document-vault references; the encryption mechanism itself is FND-12's KMS pattern reused, not rebuilt.","- Given a cruise line item with `passengerDocumentsRequired=true` is in the itinerary, when the User proceeds to booking, then passport number, expiry, and nationality are required before the booking can confirm (T22).
- Given a Traveler Profile is created, when it is inspected, then it is scoped to `consultant_id` — not shared across Consultants.",5,backend;booking;phase1,BOK-13,
Sub-task,Booking Core,"BOK-14 subtask: [EXTEND] Backend: `TravelerProfile` entity + `TravelerProfileRepository` (package-private, own Flyway migration)","[EXTEND] Backend: `TravelerProfile` entity + `TravelerProfileRepository` (package-private, own Flyway migration)",,,backend;booking;phase1;subtask,,BOK-14: Capture Traveler Profile details including passport/document vault
Sub-task,Booking Core,BOK-14 subtask: [EXTEND] Backend: `createTravelerProfile` on the module `ServiceImpl` + domain event publication (`@Transactional`),[EXTEND] Backend: `createTravelerProfile` on the module `ServiceImpl` + domain event publication (`@Transactional`),,,backend;booking;phase1;subtask,,BOK-14: Capture Traveler Profile details including passport/document vault
Sub-task,Booking Core,BOK-14 subtask: [EXTEND] Backend: REST endpoint `POST /api/v1/travelers` (Controller depends on the module's `Api` interface only),[EXTEND] Backend: REST endpoint `POST /api/v1/travelers` (Controller depends on the module's `Api` interface only),,,backend;booking;phase1;subtask,,BOK-14: Capture Traveler Profile details including passport/document vault
Sub-task,Booking Core,"BOK-14 subtask: [NEW] Backend: unit test (service logic, mocked repository/publisher)","[NEW] Backend: unit test (service logic, mocked repository/publisher)",,,backend;booking;phase1;subtask,,BOK-14: Capture Traveler Profile details including passport/document vault
Sub-task,Booking Core,BOK-14 subtask: [NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),[NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),,,backend;booking;phase1;subtask,,BOK-14: Capture Traveler Profile details including passport/document vault
Story,Booking Core,"BOK-15: Generate a Voucher on booking confirmation, including ATOL certificate for UK dynamic packages","As a User, I want receive a voucher immediately when a booking is confirmed, with an ATOL certificate attached if applicable, so that PRD §21.4's confirmation state (voucher download link, ATOL certificate download link) and §20.11 are satisfied.

PRD reference(s): §20.11 Voucher; §21.4 Confirmation state; §22.9 T5
Module(s)/Screen(s): booking
Testing tier(s): unit, module (@ApplicationModuleTest), integration (Testcontainers)
Story points reasoning: PDF generation + conditional ATOL attachment is the most complex single piece of the booking-confirmation path.","- Given a booking is confirmed, when the Voucher is generated, then it references the booking, has a `pdfReference`, and — for a UK dynamic flight+hotel package — an `atolCertificateReference` is populated and attached (T5).
- Given a booking is confirmed that is not a UK dynamic package, when the Voucher is generated, then `atolCertificateReference` remains null.",8,backend;booking;phase1,"BOK-13, BOK-11",
Sub-task,Booking Core,BOK-15 subtask: [NEW] Backend: `Voucher` entity + PDF generation service (stored to LocalStack S3 in MVP),[NEW] Backend: `Voucher` entity + PDF generation service (stored to LocalStack S3 in MVP),,,backend;booking;phase1;subtask,,"BOK-15: Generate a Voucher on booking confirmation, including ATOL certificate for UK dynamic packages"
Sub-task,Booking Core,BOK-15 subtask: [EXTEND] Backend: `confirmBooking` triggers voucher generation in the same transactional scope as BOK-01,[EXTEND] Backend: `confirmBooking` triggers voucher generation in the same transactional scope as BOK-01,,,backend;booking;phase1;subtask,,"BOK-15: Generate a Voucher on booking confirmation, including ATOL certificate for UK dynamic packages"
Sub-task,Booking Core,BOK-15 subtask: [NEW] Backend: ATOL certificate attachment conditional on `is_dynamic_flight_hotel_combo` + UK market,[NEW] Backend: ATOL certificate attachment conditional on `is_dynamic_flight_hotel_combo` + UK market,,,backend;booking;phase1;subtask,,"BOK-15: Generate a Voucher on booking confirmation, including ATOL certificate for UK dynamic packages"
Sub-task,Booking Core,BOK-15 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;booking;phase1;subtask,,"BOK-15: Generate a Voucher on booking confirmation, including ATOL certificate for UK dynamic packages"
Sub-task,Booking Core,BOK-15 subtask: [NEW] Backend: integrationTest — PDF stored and referenced correctly,[NEW] Backend: integrationTest — PDF stored and referenced correctly,,,backend;booking;phase1;subtask,,"BOK-15: Generate a Voucher on booking confirmation, including ATOL certificate for UK dynamic packages"
Story,Booking Core,BOK-16: Prevent double-booking of the last available inventory unit under concurrent requests,"As a platform reliability owner, I want have the second of two simultaneous booking attempts on the last unit fail gracefully, so that PRD §23.1 Edge Case #1 is closed with a real concurrency guarantee, not just documented as a risk.

PRD reference(s): §23.1 Edge Case #1; §22.x concurrency; §25 T21
Module(s)/Screen(s): booking
Testing tier(s): unit, integration (Testcontainers)
Story points reasoning: Concrete, well-specified concurrency fix (`@Version` + service-layer exception mapping) per backend-best-practices §3.","- Given two Users under the same Consultant attempt to book the last available inventory unit simultaneously, when the second commit is attempted, then it fails with an `OptimisticLockException` mapped to a 'no longer available' message, not a duplicate booking (T21).",5,backend;booking;phase1,BOK-13,
Sub-task,Booking Core,BOK-16 subtask: [NEW] Backend: `@Version` field on `Itinerary`/`Booking`,[NEW] Backend: `@Version` field on `Itinerary`/`Booking`,,,backend;booking;phase1;subtask,,BOK-16: Prevent double-booking of the last available inventory unit under concurrent requests
Sub-task,Booking Core,BOK-16 subtask: [NEW] Backend: service-layer mapping of `OptimisticLockException` → domain 'no longer available' exception,[NEW] Backend: service-layer mapping of `OptimisticLockException` → domain 'no longer available' exception,,,backend;booking;phase1;subtask,,BOK-16: Prevent double-booking of the last available inventory unit under concurrent requests
Sub-task,Booking Core,BOK-16 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;booking;phase1;subtask,,BOK-16: Prevent double-booking of the last available inventory unit under concurrent requests
Sub-task,Booking Core,"BOK-16 subtask: [NEW] Backend: integrationTest — two concurrent commits against Testcontainers Postgres, second fails","[NEW] Backend: integrationTest — two concurrent commits against Testcontainers Postgres, second fails",,,backend;booking;phase1;subtask,,BOK-16: Prevent double-booking of the last available inventory unit under concurrent requests
Story,Booking Core,BOK-17: Consolidate mixed-currency line items to the Consultant's sell currency at checkout,"As a Consultant, I want see one consolidated total in my sell currency even if a BYOS supplier line item is priced in a different currency, so that PRD §23.1 Edge Case #2 is closed — the system must never present a mixed-currency total.

PRD reference(s): §23.1 Edge Case #2
Module(s)/Screen(s): booking, payments
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Depends on FIN-04's FX-snapshot mechanism; the booking-side work is the checkout-time consolidation rule itself.","- Given an itinerary contains a mix of INR and AED line items due to a differently-configured BYOS supplier, when checkout is reached, then the system consolidates to the Consultant's sell currency using the FX layer, never presenting a mixed-currency total.",5,backend;booking;phase1,"BOK-13, FIN-04",
Sub-task,Booking Core,BOK-17 subtask: [EXTEND] Backend: `consolidateCheckoutCurrency` business logic / state-transition method,[EXTEND] Backend: `consolidateCheckoutCurrency` business logic / state-transition method,,,backend;booking;phase1;subtask,,BOK-17: Consolidate mixed-currency line items to the Consultant's sell currency at checkout
Sub-task,Booking Core,"BOK-17 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;booking;phase1;subtask,,BOK-17: Consolidate mixed-currency line items to the Consultant's sell currency at checkout
Sub-task,Booking Core,BOK-17 subtask: [EXTEND] Backend: REST endpoint `(internal — invoked during confirmBooking)`,[EXTEND] Backend: REST endpoint `(internal — invoked during confirmBooking)`,,,backend;booking;phase1;subtask,,BOK-17: Consolidate mixed-currency line items to the Consultant's sell currency at checkout
Sub-task,Booking Core,BOK-17 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;booking;phase1;subtask,,BOK-17: Consolidate mixed-currency line items to the Consultant's sell currency at checkout
Sub-task,Booking Core,BOK-17 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;booking;phase1;subtask,,BOK-17: Consolidate mixed-currency line items to the Consultant's sell currency at checkout
Story,Booking Core,BOK-18: Recalculate price when traveler count changes after Quotation but before booking,"As a Consultant, I want have the price recalculate, not carry over stale, if traveler count changes after a Quotation was generated, so that PRD §23.1 Edge Case #3 is closed.

PRD reference(s): §23.1 Edge Case #3
Module(s)/Screen(s): booking
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Single, well-scoped business rule on an existing entity method (`Quotation.recalculate()` throwing rather than silently no-op'ing per backend-best-practices §1).","- Given traveler count changes after a Quotation is generated but before booking, when the booking is attempted, then price is recalculated from current rates, not carried over from the stale Quotation.",3,backend;booking;phase1,BOK-09,
Sub-task,Booking Core,BOK-18 subtask: [EXTEND] Backend: `Quotation.recalculate()` business logic / state-transition method,[EXTEND] Backend: `Quotation.recalculate()` business logic / state-transition method,,,backend;booking;phase1;subtask,,BOK-18: Recalculate price when traveler count changes after Quotation but before booking
Sub-task,Booking Core,"BOK-18 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;booking;phase1;subtask,,BOK-18: Recalculate price when traveler count changes after Quotation but before booking
Sub-task,Booking Core,BOK-18 subtask: [EXTEND] Backend: REST endpoint `(internal — invoked on traveler-count change)`,[EXTEND] Backend: REST endpoint `(internal — invoked on traveler-count change)`,,,backend;booking;phase1;subtask,,BOK-18: Recalculate price when traveler count changes after Quotation but before booking
Sub-task,Booking Core,BOK-18 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;booking;phase1;subtask,,BOK-18: Recalculate price when traveler count changes after Quotation but before booking
Sub-task,Booking Core,BOK-18 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;booking;phase1;subtask,,BOK-18: Recalculate price when traveler count changes after Quotation but before booking
Story,Booking Core,BOK-19: Generate a PNR-searchable reference on every Booking,"As a User, I want have every booking carry Adren's own searchable reference regardless of product type, so that PNR search (HRD-07) can look up a booking without depending on airline PNRs or supplier booking IDs, per PRD §20.8.

PRD reference(s): §20.8 Booking (pnr_searchable_ref)
Module(s)/Screen(s): booking
Testing tier(s): unit
Story points reasoning: Small addition to the Booking entity's confirmation path.","- Given a booking is confirmed, when the Booking entity is inspected, then it carries a `pnrSearchableRef` distinct from any airline PNR or supplier booking reference.",2,backend;booking;phase1,BOK-13,
Sub-task,Booking Core,BOK-19 subtask: [EXTEND] Backend: `Booking.pnrSearchableRef` generation on confirm,[EXTEND] Backend: `Booking.pnrSearchableRef` generation on confirm,,,backend;booking;phase1;subtask,,BOK-19: Generate a PNR-searchable reference on every Booking
Sub-task,Booking Core,BOK-19 subtask: [NEW] Backend: unit test — uniqueness and format,[NEW] Backend: unit test — uniqueness and format,,,backend;booking;phase1;subtask,,BOK-19: Generate a PNR-searchable reference on every Booking
Story,Booking Core,BOK-20: Deduplicate the same physical hotel property offered by two suppliers,"As a Consultant/User, I want see one entry for a hotel even when two suppliers (e.g. Hotelbeds and STUBA) return the same physical property, so that search results aren't cluttered with duplicate listings and the Default Selection Algorithm can choose cleanly, per PRD §9.4.

PRD reference(s): §9.4 Business Rules & Edge Cases; §22.2 (interacts with Default Selection)
Module(s)/Screen(s): supplier, booking
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Property-matching/dedup across heterogeneous supplier content (names, addresses, no shared ID) is inherently fuzzy-matching work — the highest-uncertainty story in this epic.","- Given two suppliers offer the same physical hotel for a search, when results are aggregated, then the entries are deduplicated via property-matching before the Default Selection Algorithm runs.",8,backend;booking;supplier;phase1,FND-14,
Sub-task,Booking Core,BOK-20 subtask: [NEW] Backend: property-matching service (name/geo/address heuristic match across `HotelbedsClient`/`StubaClient`/`TboClient` results),[NEW] Backend: property-matching service (name/geo/address heuristic match across `HotelbedsClient`/`StubaClient`/`TboClient` results),,,backend;booking;supplier;phase1;subtask,,BOK-20: Deduplicate the same physical hotel property offered by two suppliers
Sub-task,Booking Core,BOK-20 subtask: [EXTEND] Backend: wired ahead of `DefaultSelectionService` in the aggregation pipeline,[EXTEND] Backend: wired ahead of `DefaultSelectionService` in the aggregation pipeline,,,backend;booking;supplier;phase1;subtask,,BOK-20: Deduplicate the same physical hotel property offered by two suppliers
Sub-task,Booking Core,"BOK-20 subtask: [NEW] Backend: unit test — known duplicate pairs matched, known distinct properties not merged","[NEW] Backend: unit test — known duplicate pairs matched, known distinct properties not merged",,,backend;booking;supplier;phase1;subtask,,BOK-20: Deduplicate the same physical hotel property offered by two suppliers
Sub-task,Booking Core,BOK-20 subtask: [NEW] Backend: module test — end-to-end aggregation with dedup,[NEW] Backend: module test — end-to-end aggregation with dedup,,,backend;booking;supplier;phase1;subtask,,BOK-20: Deduplicate the same physical hotel property offered by two suppliers
Story,Financial Layer,"FIN-01: Configure per-Consultant, per-category markup rules","As a Consultant, I want configure my markup per product category as a percentage or a flat fee, so that my margin is applied consistently across every hotel/flight/transfer/cruise/activity line item, per PRD §12.1.

PRD reference(s): §12.1 Markup & Commission Engine
Module(s)/Screen(s): payments
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: New configurable rule entity per Consultant×category; calculation logic is straightforward, configuration surface is the work.","- Given a Consultant configures a 15% markup on hotels, when a hotel line item is added, then the sell_rate reflects net_rate × 1.15 (Worked Example A, T6).
- Given a Consultant configures a flat-fee markup on activities, when an activity line item is added, then the flat fee is added to net_rate rather than a percentage.",5,backend;financial;payments;phase1,FND-01,
Sub-task,Financial Layer,"FIN-01 subtask: [NEW] Backend: `MarkupRule` entity + `MarkupRuleRepository` (package-private, own Flyway migration)","[NEW] Backend: `MarkupRule` entity + `MarkupRuleRepository` (package-private, own Flyway migration)",,,backend;financial;payments;phase1;subtask,,"FIN-01: Configure per-Consultant, per-category markup rules"
Sub-task,Financial Layer,FIN-01 subtask: [NEW] Backend: `configureMarkup` on the module `ServiceImpl` + domain event publication (`@Transactional`),[NEW] Backend: `configureMarkup` on the module `ServiceImpl` + domain event publication (`@Transactional`),,,backend;financial;payments;phase1;subtask,,"FIN-01: Configure per-Consultant, per-category markup rules"
Sub-task,Financial Layer,FIN-01 subtask: [NEW] Backend: REST endpoint `PUT /api/v1/consultants/{id}/markup-rules` (Controller depends on the module's `Api` interface only),[NEW] Backend: REST endpoint `PUT /api/v1/consultants/{id}/markup-rules` (Controller depends on the module's `Api` interface only),,,backend;financial;payments;phase1;subtask,,"FIN-01: Configure per-Consultant, per-category markup rules"
Sub-task,Financial Layer,"FIN-01 subtask: [NEW] Backend: unit test (service logic, mocked repository/publisher)","[NEW] Backend: unit test (service logic, mocked repository/publisher)",,,backend;financial;payments;phase1;subtask,,"FIN-01: Configure per-Consultant, per-category markup rules"
Sub-task,Financial Layer,FIN-01 subtask: [NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),[NEW] Backend: `@ApplicationModuleTest` module-slice test (event publish/consume),,,backend;financial;payments;phase1;subtask,,"FIN-01: Configure per-Consultant, per-category markup rules"
Story,Financial Layer,FIN-02: Track Adren commission separately from Consultant markup,"As a Super Admin, I want have Adren's commission tracked separately from the Consultant's markup on every booking, so that PRD §12.1's Worked Example A distinction (markup vs. commission, deducted from Consultant payout) is reflected in the ledger.

PRD reference(s): §12.1 Worked Example A
Module(s)/Screen(s): payments
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Requires a distinct ledger-entry type (`CommissionDeduction`, PRD §20.12) alongside the markup calculation from FIN-01.","- Given a booking is confirmed with a 15% Consultant markup and a 5% Adren commission on net, when the ledger is inspected, then markup and commission appear as two distinct, separately-attributable amounts, not netted into one figure.",5,backend;financial;payments;phase1,"FIN-01, FIN-06",
Sub-task,Financial Layer,FIN-02 subtask: [NEW] Backend: `calculateCommission` business logic / state-transition method,[NEW] Backend: `calculateCommission` business logic / state-transition method,,,backend;financial;payments;phase1;subtask,,FIN-02: Track Adren commission separately from Consultant markup
Sub-task,Financial Layer,"FIN-02 subtask: [NEW] Backend: domain event publication (`@Transactional`, same method scope)","[NEW] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;financial;payments;phase1;subtask,,FIN-02: Track Adren commission separately from Consultant markup
Sub-task,Financial Layer,FIN-02 subtask: [NEW] Backend: REST endpoint `(internal — invoked during sell-rate calculation)`,[NEW] Backend: REST endpoint `(internal — invoked during sell-rate calculation)`,,,backend;financial;payments;phase1;subtask,,FIN-02: Track Adren commission separately from Consultant markup
Sub-task,Financial Layer,FIN-02 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;financial;payments;phase1;subtask,,FIN-02: Track Adren commission separately from Consultant markup
Sub-task,Financial Layer,FIN-02 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;financial;payments;phase1;subtask,,FIN-02: Track Adren commission separately from Consultant markup
Story,Financial Layer,FIN-03: Apply a configurable currency buffer on top of markup,"As a Consultant, I want have a 2–5% currency buffer applied above my markup, configurable per Consultant/market, so that FX exposure on multi-currency bookings is absorbed per PRD §12.2 and Worked Example B.

PRD reference(s): §12.2 Multi-Currency & FX Buffer; §12.1 Worked Example B
Module(s)/Screen(s): payments
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Single configurable percentage applied at a defined point in the pricing pipeline.","- Given a Consultant has a 3% currency buffer configured on a Hotelbeds EUR rate, when a hotel line item is added, then the buffer is applied to the FX-converted base before markup, matching Worked Example B's INR 9,600 → INR 9,888 step.",3,backend;financial;payments;phase1,FIN-01,
Sub-task,Financial Layer,FIN-03 subtask: [EXTEND] Backend: `applyCurrencyBuffer` business logic / state-transition method,[EXTEND] Backend: `applyCurrencyBuffer` business logic / state-transition method,,,backend;financial;payments;phase1;subtask,,FIN-03: Apply a configurable currency buffer on top of markup
Sub-task,Financial Layer,"FIN-03 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;financial;payments;phase1;subtask,,FIN-03: Apply a configurable currency buffer on top of markup
Sub-task,Financial Layer,FIN-03 subtask: [EXTEND] Backend: REST endpoint `(internal — pricing pipeline step)`,[EXTEND] Backend: REST endpoint `(internal — pricing pipeline step)`,,,backend;financial;payments;phase1;subtask,,FIN-03: Apply a configurable currency buffer on top of markup
Sub-task,Financial Layer,FIN-03 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;financial;payments;phase1;subtask,,FIN-03: Apply a configurable currency buffer on top of markup
Sub-task,Financial Layer,FIN-03 subtask: [NEW] Backend: module/integration test,[NEW] Backend: module/integration test,,,backend;financial;payments;phase1;subtask,,FIN-03: Apply a configurable currency buffer on top of markup
Story,Financial Layer,FIN-04: Snapshot and lock the FX rate at quotation time,"As a Consultant, I want have the FX rate locked at the moment I generate a quote, unaffected by later market movement, so that PRD §12.2 and §22.4's T7 requirement are met — a booking price must use the locked snapshot, never the current rate.

PRD reference(s): §12.2 FX rate snapshot; §22.4 T7; §4.4 The Money rule (RULES.md)
Module(s)/Screen(s): payments
Testing tier(s): unit, module (@ApplicationModuleTest)
Story points reasoning: Immutable-once-written value per RULES.md §4.4 — the discipline is in never re-fetching it on any downstream code path, not just writing it once.","- Given a booking's supplier currency differs from the Consultant's sell currency, when a quote is generated, then the `fx_rate_snapshot` is locked and does not change even if market rates move before booking confirmation (T7).",5,backend;financial;payments;phase1,FIN-03,
Sub-task,Financial Layer,FIN-04 subtask: [EXTEND] Backend: `snapshotFxRate` business logic / state-transition method,[EXTEND] Backend: `snapshotFxRate` business logic / state-transition method,,,backend;financial;payments;phase1;subtask,,FIN-04: Snapshot and lock the FX rate at quotation time
Sub-task,Financial Layer,"FIN-04 subtask: [EXTEND] Backend: domain event publication (`@Transactional`, same method scope)","[EXTEND] Backend: domain event publication (`@Transactional`, same method scope)",,,backend;financial;payments;phase1;subtask,,FIN-04: Snapshot and lock the FX rate at quotation time
Sub-task,Financial Layer,FIN-04 subtask: [EXTEND] Backend: REST endpoint `(internal — pricing pipeline step)`,[EXTEND] Backend: REST endpoint `(internal — pricing pipeline step)`,,,backend;financial;payments;phase1;subtask,,FIN-04: Snapshot and lock the FX rate at quotation time
Sub-task,Financial Layer,FIN-04 subtask: [NEW] Backend: unit test,[NEW] Backend: unit test,,,backend;financial;payments;phase1;subtask,,FIN-04: Snapshot and lock the FX rate at quotation time
